index,decimals,name,address
SETH,18,Sether,0x78b039921e84e726eb72e7b1212bb35504c645ca
BSK,18,Brisk Pass,0xe3d631a5fc2aa15d8f051e5ecc8b7979312c4aef
SPARK,18,SPARK,0x98135aa7d498890176bfd34bc451b4dd36b4be01
CVT,18,CyberVein Token,0xbe428c3867f05dea2a89fc76a102b544eac7f772
BSC,0,Bit Startup Capital,0xac1ec3143b89d5b263d9194db216ea068e0f3dc9
AUA,5,ArubaCoin,0xb29678a4805a7d787dc9589e179d27f7575bb9f7
DIVM,18,DIVMGroup,0x2449224f42ce230c5b67e1d48bdceb224b0f72d7
BSDC,18,BitsIdea,0xf26ef5e0545384b7dcc0f297f2674189586830df
JET,18,Jetcoin,0x8727c112c712c4a03371ac87a74dd6ab104af768
BTT,18,Blocktrade,0xfa456cf55250a839088b27ee32a424d7dacb54ff
TOV,0,TokenVerse,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657
IAGT,18,Iagon,0xa14d6d3d0f6bcfb2f658291e2a341bad316f1032
DCBL,10,Decibel,0x1dc8c1b2f767e9e7b346f2056d0976523ba6b1d9
DFS,18,Digital Fantasy Sports,0x45ed02e374aef2e4b34c04e86ad9d45891d10751
AUN,18,Authoreon,0x5b7093fe2491dfb058c94bcd62a1cd4d822f884c
MCAP,8,MCAP,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc
LTG,0,LiteCoinGold,0x0879e0c9822b75f31f0b0ed2a30be9f484a57c2f
DPY,18,Delphy Token,0x6c2adc2073994fb2ccc5032cc2906fa221e9b391
1ST,18,FirstBlood,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7
VEN,18,VeChain,0xd850942ef8811f2a866692a623011bde52a462c1
BENJA,8,benjaCoin,0x38968746147bbaeb882f356ad9a57594bb158235
LTO,18,Lotus Token,0xe2e5d0e1422e927abab19ad2067f802ad07fb364
DBET,18,Decent.Bet,0x9b68bfae21df5a510931a262cecf63f41338f264
PAR,18,Parachute,0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06
EDG,0,Edgeless,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c
CAJ,18,Cajutel,0x3c6a7ab47b5f058be0e7c7fe1a4b7925b8aca40e
SS,18,Sharder Chain,0xbbff862d906e348e9946bfb2132ecb157da3d4b4
MMT,18,Momenteum,0xad6fc7cba45d982e237ed54122ccfc0151eb8f2d
PRYZ,18,Pryze,0x6b834f43b7f5a1644e0c81caa0246969da23105e
ALB,8,Allbyte,0x6a81ae504e95b99d8f9126ad6295224f07d0ca18
EDO,18,Eidoo,0xced4e93198734ddaff8492d525bd258d49eb388e
RLC,9,iExec,0x607f4c5bb672230e8672085532f7e901544a7375
EDM,18,Ethereum Diamond,0xfc64e1a97009c38803bcc636885deed2830bfac3
EDR,18,Endor Protocol Token,0xc528c28fec0a90c083328bc45f587ee215760a0f
ANGL,18,Angel Token,0xc499ea948a1ad5d8eaf12abd2f67975c4dbe21aa
NTK,18,NeuroToken,0x69beab403438253f13b6e92db91f7fb849258263
ODEM,18,ODEM,0xbf52f2ab39e26e0951d2a02b49b7702abe30406a
MAD,18,MAD Token,0x5b09a0371c1da44a8e24d36bf5deb1141a84d875
ECOMT,18,E-commerce,0x70f7cb8e3a7d52e8be9611ce20e1677aebcf027b
EDT,8,EtherDelta Token,0xce53a179047ebed80261689367c093c90a94cc08
ORI,18,Origami Network,0xd2fa8f92ea72abb35dbd6deca57173d22db2ba49
GUNS,18,GeoUnits,0x2ca72c9699b92b47272c9716c664cad6167c80b0
ALP,8,Alpha Protocol,0xf3dd3acf1662a564e15d7569fd80c105596e8846
CAN,6,CanYaCoin,0x1d462414fe14cf489c7a21cac78509f4bf8cd7c0
ZCN,10,0chain,0xb9ef770b6a5e12e45983c5d80545258aa38f3b78
BAT,18,Basic Attention Token,0x0d8775f648430679a709e98d2b0cb6250d2887ef
GZE,18,GazeCoin,0x8c65e992297d5f092a756def24f4781a280198ff
BAR,18,TBIS Inc.,0xc7579bb99af590ec71c316e1ac4436c535039594
BAS,8,BitAsean,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1
ERR,18,Etherare,0x242d07ca5ff875101f91c4fab27a11218ea7f53c
DPP,18,DA Power Play,0x01b3ec4aae1b8729529beb4965f27d008788b0eb
CAS,18,Cashaa,0xe8780b48bdb05f928697a5e8155f672ed91462f7
SHNZ,8,ShizzleNizzle,0x8b0c9f462c239c963d8760105cbc935c63d85680
YC,0,YoshiCoin,0x4e260e3ca268e40133c84b142de73108a7c1ec99
GEN2,18,Genesis,0x9dfe4643c04078a46803edcc30a3291b76d4c20c
BAX,18,BABB,0x9a0242b7a33dacbe40edb927834f96eb39f8fbcb
CAT,18,BlockCAT,0x56ba2ee7890461f463f7be02aac3099f6d5811a8
DATL,18,Datalife,0xedcd82784027001d7af57a34501c65a25f97fee4
GREEN,8,EtherGreen,0x108caf59641fc5d27502a87e641872b62d606ae2
CZT,0,Civilianz,0xe4c07f4637df3a0354f9b42a1b3178dc573b8926
MITH,18,Mithril Token,0x3893b9422cd5d70a81edeffe3d5a1c6a978310bb
AID,18,Aid Coin,0x37e8789bb9996cac9156cd5f5fd32599e6b91289
UKG,18,Unikoin Gold,0x24692791bc444c5cd0b81e3cbcaba4b04acd1f3b
XHY,8,HYBRID,0x2f4baef93489b09b5e4b923795361a65a26f55e5
DATA,18,Streamr,0x0cf0ee63788a0849fe5297f3407f701e122cc023
MWAT,18,RED MWAT,0x6425c6be902d692ae2db752b3c268afadb099d3b
QKC,18,QuarkChain Token,0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664
ETBT,18,Ethereum Black,0x9d5b592b687c887a5a34df5f9207adb2c2db3aec
PGL,18,Prospectors,0x089a6d83282fb8988a656189f1e7a73fa6c1cac2
TOTO,8,TouristToken,0xe3278df3eb2085ba9b6899812a99a10f9ca5e0df
ETBS,12,EthBits,0x1b9743f556d65e757c4c650b4555baf354cb8bd3
GNO,18,Gnosis,0x6810e776880c02933d47db1b9fc05908e5386b96
PLBT,6,Polybius,0x0affa06e7fbe5bc9a764c979aa66e8256a631f02
SEELE,18,Seele,0xb1eef147028e9f480dbc5ccaa3277d417d1b85f0
NCASH,18,Nucleus Vision,0x809826cceab68c387726af962713b64cb5cb3cca
BITCAR,8,BitCar,0x08b4c866ae9d1be56a06e0c302054b4ffe067b43
NEOB,18,Neo Black,0x19e7ce00e34ec1669371dd5751652edf9db5e13f
SPX,18,SP8DE Token,0x05aaaa829afa407d83315cded1d45eb16025910c
STAKE,8,StakeIt,0xbec8f6d667594fb181c9d68e5c80c910888be93d
NEOG,0,NEO GOLD,0x449574c69f3a658794829ed81639a7a9ece041e1
STB,4,Stable,0x09bca6ebab05ee2ae945be4eda51393d94bf7b99
NTWK,18,Network Token,0x2233799ee2683d75dfefacbcd2a26c78d34b470d
FXT,18,Fuzex,0x1829aa045e21e0d59580024a951db48096e01782
HGT,8,HelloGold,0xba2184520a1cc49a6159c57e61e1844e085615b6
HGS,18,HashGains,0x23b8cc7cb0b1fff0130197dc5aac7e1b305a5813
ZRX,18,0x,0xe41d2489571d322189246dafa5ebde1f4699f498
BCS,18,BCShop.io Token,0x98bde3a768401260e7025faf9947ef1b81295519
STU,18,bitJob,0x0371a82e4a9d0a4312f3ee2ac9c6958512891372
KTN,6,KARMATOKEN,0xdc0c22285b61405aae01cba2530b6dd5cd328da7
GRID,12,Grid+,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd
STQ,18,Storiqa,0x5c3a228510d246b78a3765c20221cbf3082b44a4
PRE,18,Presearch,0x88a3e4f35d64aad41a6d4030ac9afe4356cb84fa
ABX,18,ABX Token,0x9a794dc1939f1d78fa48613b89b8f9d0a20da00e
CAG,18,Change,0x7d4b8cce0591c9044a22ee543533b72e976e36c3
BOSS,18,Boss Token,0xb334ac3a2f65dd597734b888324fd48285dad8a2
STX,18,Stox,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45
STY,18,Styras,0x9c5bce67611a40124887715851c9a81abac12256
